part_number,name,category,bom_category,brand,unit,purchase_price,purchase_currency,kg_per_metre,is_enclosure_cubicle,is_placeholder,source_file,flags
3VJ9018-0HD11,Door Mounted Rotary Operator (3VJ10),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,24.42,EUR,,no,no,component-catalog-ALL.csv,
3VJ9018-0ST15,Right Shunt Trip 110V DC (3VJ10),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,15.92,EUR,,no,no,component-catalog-ALL.csv,
3VJ9018-0ST35,Right Shunt Trip 110V AC (3VJ10),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,15.92,EUR,,no,no,component-catalog-ALL.csv,
3VJ9018-0ST36,Right Shunt Trip 220V AC (3VJ10),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,15.92,EUR,,no,no,component-catalog-ALL.csv,
3VJ9018-0ST37,Right Shunt Trip 415V AC (3VJ10),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,15.92,EUR,,no,no,component-catalog-ALL.csv,
3VJ9118-0AA11,Left Alarm Switch (3VJ11),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,6.56,EUR,,no,no,component-catalog-ALL.csv,
3VJ9118-0AA21,Right Alarm Switch (3VJ11),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,6.56,EUR,,no,no,component-catalog-ALL.csv,
3VJ9118-0AD11,Left Aux + Alarm Switch (3VJ11),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,13.16,EUR,,no,no,component-catalog-ALL.csv,
3VJ9118-0AD21,Right Aux + Alarm Switch (3VJ11),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,13.16,EUR,,no,no,component-catalog-ALL.csv,
3VJ9118-0HD11,Door Mounted Rotary Operator (3VJ11),SINOVA MCCB ACCESSORIES,accessories_hardware,SIEMENS,pcs,24.42,EUR,,no,no,component-catalog-ALL.csv,
