kitGroup,labourGroup,kitName,mainPart,hoursPanelAssembly,hoursWiring,hoursBusbarFabrication
INCOMER-KIT,INCOMER-KIT,"320A,4P,MCCB, Adjustable, 36kA-INCOMER-KIT",3VJ1332-5EB42-0AA0,,,
INCOMER-KIT,INCOMER-KIT,"400A,4P,MCCB, Adjustable, 36kA-INCOMER-KIT",3VJ1340-5EB42-0AA0,,,
INCOMER-KIT,INCOMER-KIT,"500A,TP,MCCB, Adjustable, 36kA-INCOMER-KIT",3VJ1450-5DB32-0AA0,,,
INCOMER-KIT,INCOMER-KIT,"630A,TP,MCCB, Adjustable, 36kA-INCOMER-KIT",3VJ1463-5DB32-0AA0,,,
INCOMER-KIT,INCOMER-KIT,"500A,4P,MCCB, Adjustable, 36kA-INCOMER-KIT",3VJ1450-5EB42-0AA0,,,
INCOMER-KIT,INCOMER-KIT,"630A,4P,MCCB, Adjustable, 36kA-INCOMER-KIT",3VJ1463-5EB42-0AA0,,,
OUTGOER-KIT,OUTGOER-KIT,"320A,TP,MCCB, Adjustable, 25kA-OUTGOER-KIT",3VJ1332-3DB32-0AA0,,,
OUTGOER-KIT,OUTGOER-KIT,"400A,TP,MCCB, Adjustable, 25kA-OUTGOER-KIT",3VJ1340-3DB32-0AA0,,,
OUTGOER-KIT,OUTGOER-KIT,"320A,4P,MCCB, Adjustable, 25kA-OUTGOER-KIT",3VJ1332-3EB42-0AA0,,,
OUTGOER-KIT,OUTGOER-KIT,"400A,4P,MCCB, Adjustable, 25kA-OUTGOER-KIT",3VJ1340-3EB42-0AA0,,,
OUTGOER-KIT,OUTGOER-KIT,"320A,TP,MCCB, Adjustable, 36kA-OUTGOER-KIT",3VJ1332-5DB32-0AA0,,,
OUTGOER-KIT,OUTGOER-KIT,"400A,TP,MCCB, Adjustable, 36kA-OUTGOER-KIT",3VJ1340-5DB32-0AA0,,,
OUTGOER-KIT,OUTGOER-KIT,"320A,4P,MCCB, Adjustable, 36kA-OUTGOER-KIT",3VJ1332-5EB42-0AA0,,,
OUTGOER-KIT,OUTGOER-KIT,"400A,4P,MCCB, Adjustable, 36kA-OUTGOER-KIT",3VJ1340-5EB42-0AA0,,,
OUTGOER-KIT,OUTGOER-KIT,"500A,TP,MCCB, Adjustable, 36kA-OUTGOER-KIT",3VJ1450-5DB32-0AA0,,,
OUTGOER-KIT,OUTGOER-KIT,"630A,TP,MCCB, Adjustable, 36kA-OUTGOER-KIT",3VJ1463-5DB32-0AA0,,,
OUTGOER-KIT,OUTGOER-KIT,"500A,4P,MCCB, Adjustable, 36kA-OUTGOER-KIT",3VJ1450-5EB42-0AA0,,,
OUTGOER-KIT,OUTGOER-KIT,"630A,4P,MCCB, Adjustable, 36kA-OUTGOER-KIT",3VJ1463-5EB42-0AA0,,,
MCB,MCB,6A SP-10KA-KIT,5TJ4106-7,,,
MCB,MCB,10A SP-10KA-KIT,5TJ4110-7,,,
MCB,MCB,16A SP-10KA-KIT,5TJ4116-7,,,
MCB,MCB,20A SP-10KA-KIT,5TJ4120-7,,,
MCB,MCB,25A SP-10KA-KIT,5TJ4125-7,,,
MCB,MCB,32A SP-10KA-KIT,5TJ4132-7,,,
MCB,MCB,40A SP-10KA-KIT,5TJ4140-7,,,
MCB,MCB,50A SP-10KA-KIT,5TJ4150-7,,,
MCB,MCB,63A SP-10KA-KIT,5TJ4163-7,,,
MCB,MCB,6A DP-10KA-KIT,5TJ4206-7,,,
MCB,MCB,10A DP-10KA-KIT,5TJ4210-7,,,
MCB,MCB,16A DP-10KA-KIT,5TJ4216-7,,,
MCB,MCB,20A DP-10KA-KIT,5TJ4220-7,,,
MCB,MCB,25A DP-10KA-KIT,5TJ4225-7,,,
MCB,MCB,32A DP-10KA-KIT,5TJ4232-7,,,
MCB,MCB,40A DP-10KA-KIT,5TJ4240-7,,,
MCB,MCB,50A DP-10KA-KIT,5TJ4250-7,,,
MCB,MCB,63A DP-10KA-KIT,5TJ4263-7,,,
MCB,MCB,6A 3P-10KA-KIT,5TJ4306-7,,,
MCB,MCB,10A 3P-10KA-KIT,5TJ4310-7,,,
MCB,MCB,16A 3P-10KA-KIT,5TJ4316-7,,,
MCB,MCB,20A 3P-10KA-KIT,5TJ4320-7,,,
MCB,MCB,25A 3P-10KA-KIT,5TJ4325-7,,,
MCB,MCB,32A 3P-10KA-KIT,5TJ4332-7,,,
MCB,MCB,40A 3P-10KA-KIT,5TJ4340-7,,,
MCB,MCB,50A 3P-10KA-KIT,5TJ4350-7,,,
MCB,MCB,63A 3P-10KA-KIT,5TJ4363-7,,,
MCB,MCB,6A 4P-10KA-KIT,5TJ4406-7,,,
MCB,MCB,10A 4P-10KA-KIT,5TJ4410-7,,,
MCB,MCB,16A 4P-10KA-KIT,5TJ4416-7,,,
MCB,MCB,20A 4P-10KA-KIT,5TJ4420-7,,,
MCB,MCB,25A 4P-10KA-KIT,5TJ4425-7,,,
MCB,MCB,32A 4P-10KA-KIT,5TJ4432-7,,,
MCB,MCB,40A 4P-10KA-KIT,5TJ4440-7,,,
MCB,MCB,50A 4P-10KA-KIT,5TJ4450-7,,,
MCB,MCB,63A 4P-10KA-KIT,5TJ4463-7,,,
ATS,ATS,800A 4P WITHDRAWABLE MOTORIZED ACB-ATS KIT,3WJ1108-2AE12-4DD0-Z F40+S55+T40,,,
ATS,ATS,1000A 4P WITHDRAWABLE MOTORIZED ACB-ATS KIT,3WJ1110-2AE42-4DD0-Z F40+R55+T40,,,
ATS,ATS,1250A 4P WITHDRAWABLE MOTORIZED ACB-ATS KIT,3WJ1112-2AE42-4DD0-Z F40+R55+T40,,,
ATS,ATS,1600A 4P WITHDRAWABLE MOTORIZED ACB-ATS KIT,3WJ1116-2AE42-4DD0-Z F40+R55+T40,,,
ATS,ATS,2000A 4P WITHDRAWABLE MOTORIZED ACB-ATS KIT,3WJ1220-2AE42-4DD0-Z F40+R55+T40,,,
ATS,ATS,2500A 4P WITHDRAWABLE MOTORIZED ACB-ATS KIT,3WJ1225-2AE42-4DD0-Z F40+R55+T40,,,
ATS,ATS,3200A 4P WITHDRAWABLE MOTORIZED ACB-ATS KIT,3WJ1232-2AE42-4DD0-Z F40+R55+T40,,,
ATS,ATS,4000A 4P WITHDRAWABLE MOTORIZED ACB-ATS KIT,3WJ1240-2AE41-4DD0-Z F40+R55+T40,,,
SYNCHRONIZATION,SYNCHRONIZATION,800A 4P WITHDRAWABLE MOTORIZED ACB-SYNC KIT,3WJ1108-2AE42-4AD0,,,
SYNCHRONIZATION,SYNCHRONIZATION,1000A 4P WITHDRAWABLE MOTORIZED ACB-SYNC KIT,3WJ1110-2AE42-4AD0,,,
SYNCHRONIZATION,SYNCHRONIZATION,1250A 4P WITHDRAWABLE MOTORIZED ACB-SYNC KIT,3WJ1112-2AE42-4AD0,,,
SYNCHRONIZATION,SYNCHRONIZATION,1600A 4P WITHDRAWABLE MOTORIZED ACB-SYNC KIT,3WJ1116-2AE42-4AD0,,,
SYNCHRONIZATION,SYNCHRONIZATION,2000A 4P WITHDRAWABLE MOTORIZED ACB-SYNC KIT,3WJ1220-2AE42-4AD0,,,
SYNCHRONIZATION,SYNCHRONIZATION,2500A 4P WITHDRAWABLE MOTORIZED ACB-SYNC KIT,3WJ1225-2AE42-4AD0,,,
