kitGroup,labourGroup,kitName,mainPart,hoursPanelAssembly,hoursWiring,hoursBusbarFabrication
MCCB,MCCB,63A 4P ADJ Therm Fix. Mag 18KA-KIT,CSESL125FMU4P-63A,,,
MCCB,MCCB,60A TP Adj Therm Fix Mag MCCB 125AF 18KA-KIT,CSESL125FMU3P-63A,,,
MCB,MCB,63A FP MCB 10KA 'C' Curve-KIT,CSMBS4C63KA10,,,
MCB,MCB,63A TP MCB 10KA 'C' Curve-KIT,CSMBS3C63,,,
MCB,MCB,63A SP MCB 10KA 'D' Curve-KIT,CSMB1D63KA10X,,,
MCB,MCB,63A SP MCB 6KA 'C' Curve-KIT,CSMBS1C63XKA6,,,
ISOLATOR,ISOLATOR,63A TP MCB Isolator-KIT,CSMBS3ISO63X,,,
ISOLATOR,ISOLATOR,40A DP ISOLATOR-KIT,CSMBS2ISO40,,,
MCB,MCB,40A DP MCB 10KA 'D' Curve-KIT,CSMBS2D40KA10,,,
MCB,MCB,40A DP MCB 6KA 'C' Curve-KIT,CSMBS2C40XKA6,,,
MCB,MCB,40A FP MCB 10KA 'C' Curve-KIT,CSMBS4C40KA10,,,
MCB,MCB,40A SP MCB 6KA 'C' Curve-KIT,CSMBS1C40XKA6,,,
MCB,MCB,40A TP MCB 10KA 'C' Curve-KIT,CSMBS3C40,,,
MCB,MCB,32A DP MCB 10KA 'C' Curve-KIT,CSMBS2C32KA10,,,
MCB,MCB,32A FP MCB 10KA 'C' Curve-KIT,CSMBS4C32KA10,,,
MCB,MCB,32A SP MCB 6KA C Curve-KIT,CSMBL1C32,,,
MCB,MCB,32A TP MCB 10KA 'C' Curve-KIT,CSMBS3C32KA10,,,
MCB,MCB,20A SP MCB 10KA 'D' CURVE-KIT,CSMB1D20KA10X,,,
MCB,MCB,20A SP MCB 6KA 'C' Curve-KIT,CSMBS1C20XKA6,,,
MCB,MCB,20A TP MCB 10KA 'C' Curve-KIT,CSMBS3C20KA10,,,
MCB,MCB,20A TP MCB 10KA 'D' Curve-KIT,CSMBS3D20KA10,,,
MCB,MCB,16A SP MCB 10KA 'C' Curve-KIT,CSMBS1C16KA10,,,
MCB,MCB,16A SP MCB 6KA 'C' Curve-KIT,CSMBS1C16XKA6,,,
MCB,MCB,16A TP MCB 10KA 'C' Curve-KIT,CSMBS3C16KA10,,,
MCB,MCB,16A TP MCB 10KA 'D' Curve-KIT,CSMB3D16KA10X,,,
MCB,MCB,10A SP MCB 6KA C' Curve-KIT,CSMBL1C10,,,
MCB,MCB,10A TP MCB 10KA 'C' Curve-KIT,CSMBS3C10KA10,,,
ONLOAD CHANGEOVER,ONLOAD CHANGEOVER,3150A FP Onload C/O Switch W/Out Encl-KIT,CSCS3150P4COX,,,
ONLOAD CHANGEOVER,ONLOAD CHANGEOVER,2500A FP Onload C/O Switch W/Out Encl-KIT,CSCS2500P4COX,,,
ONLOAD CHANGEOVER,ONLOAD CHANGEOVER,2000A P4 FP Onload C/O Switch W/Out Encl-KIT,CSCS2000P4COX,,,
ONLOAD CHANGEOVER,ONLOAD CHANGEOVER,1800A FP Onload C/O Switch W/Out Encl-KIT,CSCS1800P4COX,,,
