partNumber,description,category,priceEur,purchaseCurrency,listSellingPrice,unit,brand,rating,poles,breakingCapacity,frameSize,notes
800(W)X800(D)X1600(H)-2B,800(W)X800(D)X1600(H)-2B,ENCLOSURE,300,EUR,0,1,LOCAL,,,,,
600(W)X800(D)X1600(H)-2B,600(W)X800(D)X1600(H)-2B,ENCLOSURE,220,EUR,0,1,LOCAL,,,,,
400(W)X800(D)X1600(H)-2B,400(W)X800(D)X1600(H)-2B,ENCLOSURE,160,EUR,0,1,LOCAL,,,,,
800(W)X600(D)X1600(H)-2B,800(W)X600(D)X1600(H)-2B,ENCLOSURE,262.5,EUR,0,1,LOCAL,,,,,
600(W)X600(D)X1600(H)-2B,600(W)X600(D)X1600(H)-2B,ENCLOSURE,192.5,EUR,0,1,LOCAL,,,,,
400(W)X600(D)X1600(H)-2B,400(W)X600(D)X1600(H)-2B,ENCLOSURE,140,EUR,0,1,LOCAL,,,,,
800(W)X400(D)X1600(H)-2B,800(W)X400(D)X1600(H)-2B,ENCLOSURE,225,EUR,0,1,LOCAL,,,,,
600(W)X400(D)X1600(H)-2B,600(W)X400(D)X1600(H)-2B,ENCLOSURE,165,EUR,0,1,LOCAL,,,,,
400(W)X400(D)X1600(H)-2B,400(W)X400(D)X1600(H)-2B,ENCLOSURE,120,EUR,0,1,LOCAL,,,,,
