partNumber,description,category,priceEur,purchaseCurrency,listSellingPrice,unit,brand,rating,poles,breakingCapacity,frameSize,notes
CSMBS1C40XKA6,40A SP MCB 6KA 'C' Curve,MCB,1.5,EUR,0,1,C&S,,,,,
CSMBS3C40,40A TP MCB 10KA 'C' Curve ,MCB,5.25,EUR,0,1,C&S,,,,,
,,,,,,,,,,,,
CSMBS2C32KA10,32A DP MCB 10KA 'C' Curve,MCB,2.75,EUR,0,1,C&S,,,,,
CSMBS4C32KA10,32A FP MCB 10KA 'C' Curve  ,MCB,6,EUR,0,1,C&S,,,,,
CSMBL1C32,32A SP MCB 6KA C Curve,MCB,1.25,EUR,0,1,C&S,,,,,
CSMBS3C32KA10,32A TP MCB 10KA 'C' Curve,MCB,4.75,EUR,0,1,C&S,,,,,
,,,,,,,,,,,,
CSMB1D20KA10X,20A SP MCB 10KA 'D' CURVE,MCB,1.75,EUR,0,1,C&S,,,,,
CSMBS1C20XKA6,20A SP MCB 6KA 'C' Curve,MCB,1.5,EUR,0,1,C&S,,,,,
CSMBS3C20KA10,20A TP MCB 10KA 'C' Curve,MCB,4.5,EUR,0,1,C&S,,,,,
CSMBS3D20KA10,20A TP MCB 10KA 'D' Curve,MCB,5.5,EUR,0,1,C&S,,,,,
,,,,,,,,,,,,
CSMBS1C16KA10,16A SP MCB 10KA 'C' Curve,MCB,1.5,EUR,0,1,C&S,,,,,
CSMBS1C16XKA6,16A SP MCB 6KA 'C' Curve,MCB,1.5,EUR,0,1,C&S,,,,,
CSMBS3C16KA10,16A TP MCB 10KA 'C' Curve,MCB,4.5,EUR,0,1,C&S,,,,,
CSMB3D16KA10X,16A TP MCB 10KA 'D' Curve,MCB,5.5,EUR,0,1,C&S,,,,,
,,,,,,,,,,,,
CSMBL1C10,10A SP MCB 6KA C' Curve,MCB,1.25,EUR,0,1,C&S,,,,,
CSMBS3C10KA10,10A TP MCB 10KA 'C' Curve,MCB,4.5,EUR,0,1,C&S,,,,,
,,,,,,,,,,,,
ONLOAD CHANGEOVER,,,,,,,,,,,,
CSCS3150P4COX,3150A FP Onload C/O Switch W/Out Encl,ONLOAD CHANGEOVER,4013,EUR,0,1,C&S,,,,,
CSCS2500P4COX,2500A FP Onload C/O Switch W/Out Encl,ONLOAD CHANGEOVER,2702.75,EUR,0,1,C&S,,,,,
CSCS2000P4COX,2000A P4 FP Onload C/O Switch W/Out Encl ,ONLOAD CHANGEOVER,2654.25,EUR,0,1,C&S,,,,,
