partNumber,description,category,priceEur,purchaseCurrency,listSellingPrice,unit,brand,rating,poles,breakingCapacity,frameSize,notes
3WJ1220-2AE42-4AD0,2000A 4P WITHDRAWABLE MOTORIZED ACB,ACB,2213.76,EUR,0,1,SIEMENS,,,,,
3WJ1220-2AE42-4DD0-Z F40+R55+T40,2000A 4P WITHDRAWABLE MOTORIZED ACB-with changeover accessories,ACB,2385.92,EUR,0,1,SIEMENS,,,,,
,,,,,0,1,,,,,,
3WJ1225-2AE02-1AD0,2500A 3P FIXED MANUAL ACB,ACB,1864.21,EUR,0,1,SIEMENS,,,,,
3WJ1225-2AE12-1AD0,2500A 4P FIXED MANUAL ACB,ACB,2424.21,EUR,0,1,SIEMENS,,,,,
3WJ1225-2AE32-1AD0,2500A 3P WITHDRAWABLE MANUAL ACB,ACB,2024.21,EUR,0,1,SIEMENS,,,,,
3WJ1225-2AE42-1AD0,2500A 4P WITHDRAWABLE MANUAL ACB,ACB,2664.21,EUR,0,1,SIEMENS,,,,,
3WJ1225-2AE02-4AD0,2500A 3P FIXED MOTORIZED ACB,ACB,1941.76,EUR,0,1,SIEMENS,,,,,
3WJ1225-2AE12-4AD0,2500A 4P FIXED MOTORIZED ACB,ACB,2501.76,EUR,0,1,SIEMENS,,,,,
3WJ1225-2AE32-4AD0,2500A 3P WITHDRAWABLE MOTORIZED ACB,ACB,2101.76,EUR,0,1,SIEMENS,,,,,
3WJ1225-2AE42-4AD0,2500A 4P WITHDRAWABLE MOTORIZED ACB,ACB,2741.76,EUR,0,1,SIEMENS,,,,,
3WJ1225-2AE42-4DD0-Z F40+R55+T40,2500A 4P WITHDRAWABLE MOTORIZED ACB-with changeover accessories,ACB,2913.92,EUR,0,1,SIEMENS,,,,,
,,,,,0,1,SIEMENS,,,,,
3WJ1232-2AE02-1AD0,3200A 3P FIXED MANUAL ACB,ACB,2296.21,EUR,0,1,SIEMENS,,,,,
3WJ1232-2AE12-1AD0,3200A 4P FIXED MANUAL ACB,ACB,3016.21,EUR,0,1,SIEMENS,,,,,
3WJ1232-2AE32-1AD0,3200A 3P WITHDRAWABLE MANUAL ACB,ACB,2504.21,EUR,0,1,SIEMENS,,,,,
3WJ1232-2AE42-1AD0,3200A 4P WITHDRAWABLE MANUAL ACB,ACB,3288.21,EUR,0,1,SIEMENS,,,,,
3WJ1232-2AE02-4AD0,3200A 3P FIXED MOTORIZED ACB,ACB,2373.76,EUR,0,1,SIEMENS,,,,,
3WJ1232-2AE12-4AD0,3200A 4P FIXED MOTORIZED ACB,ACB,3093.76,EUR,0,1,SIEMENS,,,,,
3WJ1232-2AE32-4AD0,3200A 3P WITHDRAWABLE MOTORIZED ACB,ACB,2581.76,EUR,0,1,SIEMENS,,,,,
3WJ1232-2AE42-4AD0,3200A 4P WITHDRAWABLE MOTORIZED ACB,ACB,3365.76,EUR,0,1,SIEMENS,,,,,
3WJ1232-2AE42-4DD0-Z F40+R55+T40,3200A 4P WITHDRAWABLE MOTORIZED ACB-with changeover accessories,ACB,3537.92,EUR,0,1,SIEMENS,,,,,
,,,,,0,1,SIEMENS,,,,,
3WJ1240-2AE01-1AD0,4000A 3P FIXED MANUAL ACB,ACB,2872.21,EUR,0,1,SIEMENS,,,,,
3WJ1240-2AE11-1AD0,4000A 4P FIXED MANUAL ACB,ACB,3768.21,EUR,0,1,SIEMENS,,,,,
3WJ1240-2AE31-1AD0,4000A 3P WITHDRAWABLE MANUAL ACB,ACB,3272.21,EUR,0,1,SIEMENS,,,,,
3WJ1240-2AE41-1AD0,4000A 4P WITHDRAWABLE MANUAL ACB,ACB,4232.21,EUR,0,1,SIEMENS,,,,,
3WJ1240-2AE01-4AD0,4000A 3P FIXED MOTORIZED ACB,ACB,2949.76,EUR,0,1,SIEMENS,,,,,
3WJ1240-2AE11-4AD0,4000A 4P FIXED MOTORIZED ACB,ACB,3845.76,EUR,0,1,SIEMENS,,,,,
3WJ1240-2AE31-4AD0,4000A 3P WITHDRAWABLE MOTORIZED ACB,ACB,3349.76,EUR,0,1,SIEMENS,,,,,
3WJ1240-2AE41-4AD0,4000A 4P WITHDRAWABLE MOTORIZED ACB,ACB,4309.76,EUR,0,1,SIEMENS,,,,,
3WJ1240-2AE41-4DD0-Z F40+R55+T40,4000A 4P WITHDRAWABLE MOTORIZED ACB-with changeover accessories,ACB,4481.92,EUR,0,1,SIEMENS,,,,,
